County Name,County Code,County FIPS Code,Latitude,Longitude,Week Begin Date,Total Calls,Total Intakes,Caller Receiving Warm-Line Connection,Male Callers,Female Callers,Callers Using Heroin,Callers Using Cannabis,Callers Using Alcohol,Callers Using Benzodiazepine,Callers Using Opiates,Callers Using Hallucinogens,Callers Using Stimulants,Callers Using Depressants,Callers Using Narcotics - Not Specificied,Callers Using Methadone,Callers Using Suboxone,Callers Using Dissociative Anesthetic,Callers Receiving at least 1 Resource,Callers Receiving Information and Resources Only,Callers Referred for Assessment and Diagnostics,Callers Referred to Outpatient Treatment,Callers Referred to Medication Assisted Treatment,Callers Referred for Detox/Crisis Stabilization,Callers Referred to Intensive Outpatient Treatment,Callers Referred to Inpatient Residential Treatment,Callers Referred to the Emergency Room,Callers Referred for Recovery Support,Callers Referred to Social Services,Callers Referred to their SCA,Georeferenced Latitude & Longitude
Commonwealth,00,42000,39.346129,-75.167756,04/01/2019,349,278,157,105,73,38,14,48,7,38,0,34,1,22,8,11,0,178,1,19,16,13,67,1,26,3,0,0,35,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/07/2018,418,199,207,121,78,62,13,69,8,35,2,46,2,17,,,,199,1,4,18,6,88,4,56,2,4,1,34,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/27/2020,352,194,141,113,81,50,11,66,12,32,4,42,0,13,5,8,0,194,5,0,19,4,116,3,34,8,4,0,30,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,09/17/2018,305,135,125,80,55,37,16,42,4,33,5,31,2,6,2,7,,135,0,6,8,9,65,0,37,0,0,1,22,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/09/2020,231,138,117,81,57,35,4,55,6,19,2,31,0,13,3,4,1,138,0,10,10,1,64,1,25,5,1,0,27,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/13/2017,411,153,155,83,70,,,,,,,,,,,,,153,0,1,17,14,95,0,17,4,1,0,12,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/06/2019,266,129,112,71,58,37,10,39,5,10,2,33,2,14,3,9,1,129,3,7,9,4,49,0,23,2,1,0,34,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,08/28/2017,341,161,167,88,73,,,,,,,,,,,,,161,1,3,15,7,106,3,12,2,0,0,19,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/10/2019,268,137,121,70,67,30,18,48,4,29,4,30,0,8,5,5,0,137,1,13,13,5,50,0,18,0,2,0,38,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/09/2018,376,159,174,93,66,43,12,49,12,36,3,33,1,14,,,,159,0,4,18,8,82,0,36,3,0,0,21,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/29/2019,264,134,112,93,41,33,9,44,6,22,4,34,2,9,5,3,1,134,0,24,6,5,62,1,13,1,0,0,25,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/19/2018,195,96,93,58,38,17,7,31,8,24,8,29,1,5,3,5,,96,0,11,12,3,44,2,26,0,0,0,8,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/28/2016,440,207,181,126,81,,,,,,,,,,,,,207,4,4,25,14,128,1,30,12,2,0,7,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/20/2020,303,160,142,96,64,41,12,39,2,28,3,36,0,16,4,13,0,160,2,10,14,9,57,2,33,0,6,0,37,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/26/2017,327,143,139,80,63,,,,,,,,,,,,,143,1,9,8,4,84,1,20,1,0,0,26,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/10/2017,438,163,161,99,64,,,,,,,,,,,,,163,0,6,3,8,107,1,11,3,0,0,27,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,09/16/2019,276,138,119,83,55,31,5,48,7,25,4,40,1,9,1,7,0,138,1,6,4,3,59,4,25,2,2,1,32,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,09/25/2017,324,146,151,93,53,,,,,,,,,,,,,146,2,4,12,7,73,1,19,1,2,1,27,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/16/2019,167,105,96,59,46,18,8,27,4,13,3,21,1,14,2,9,0,105,0,15,10,8,37,1,18,1,3,1,18,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/05/2018,338,160,159,91,69,,,,,,,,,,,,,160,1,3,19,15,67,3,33,0,3,1,24,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/27/2020,274,161,131,98,63,33,9,44,11,36,6,49,2,10,6,12,1,161,2,10,12,5,59,1,26,7,7,0,44,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/13/2017,326,130,137,92,38,,,,,,,,,,,,,130,0,16,8,5,75,0,12,6,0,0,27,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,09/23/2019,339,152,132,95,57,38,9,52,8,16,3,34,2,6,3,7,0,152,1,10,11,4,68,0,26,3,0,0,35,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/30/2020,177,110,95,64,46,25,6,30,1,23,2,26,1,12,2,8,0,110,0,3,6,5,48,1,24,6,3,0,25,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/13/2020,300,201,148,111,90,42,10,63,7,26,4,35,0,24,10,13,1,201,1,6,21,13,101,1,38,14,0,0,33,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/17/2017,336,179,162,94,85,,,,,,,,,,,,,179,2,18,10,12,91,2,18,5,1,0,36,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,09/18/2017,367,174,174,109,65,,,,,,,,,,,,,174,1,11,8,9,98,1,20,1,0,1,28,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/01/2018,296,122,128,71,51,,,,,,,,,,,,,122,0,5,12,12,57,1,27,2,1,0,14,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/18/2019,322,162,141,91,71,47,10,64,3,27,0,33,0,12,5,9,0,162,0,16,10,11,73,1,17,1,1,0,39,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/22/2017,315,148,150,81,67,,,,,,,,,,,,,148,0,9,9,7,73,0,16,1,0,1,36,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/26/2018,443,198,215,127,71,59,11,51,10,36,4,41,3,17,,,,198,1,4,12,9,104,1,56,2,0,0,31,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/06/2017,454,175,177,103,72,,,,,,,,,,,,,175,1,3,17,9,107,4,22,6,1,0,12,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/27/2017,255,100,105,73,27,,,,,,,,,,,,,100,0,5,8,6,53,0,12,2,0,1,19,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,08/19/2019,293,138,119,81,57,24,7,46,2,15,2,23,0,4,3,1,0,138,0,30,13,4,55,1,4,1,0,1,30,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/23/2017,261,106,110,69,38,,,,,,,,,,,,,106,0,3,6,12,51,0,13,1,0,0,21,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/04/2020,329,174,137,104,70,28,11,61,8,25,6,48,1,11,5,11,1,174,3,10,19,6,73,0,33,7,3,2,29,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/09/2018,349,174,173,101,73,53,15,54,9,45,1,47,4,79,4,9,,174,0,11,18,8,78,1,41,4,1,0,26,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/02/2019,197,110,102,67,43,24,6,38,9,23,1,22,0,11,4,5,0,110,0,12,5,6,53,1,11,1,0,0,25,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/15/2020,326,200,159,114,86,47,17,64,6,35,2,32,0,15,6,8,1,200,0,9,19,10,100,4,46,11,1,2,33,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/02/2020,234,139,111,80,59,30,7,54,5,17,1,32,4,13,7,4,0,139,0,8,10,4,62,3,17,7,1,0,35,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/14/2019,338,172,137,107,65,50,9,50,6,37,8,42,8,15,5,12,1,172,1,7,16,7,89,3,19,3,1,0,34,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/04/2018,315,151,152,94,57,41,9,45,9,28,3,35,2,13,1,,,151,2,3,17,6,56,3,39,2,1,1,33,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/30/2018,357,182,193,103,79,42,16,58,11,39,5,44,3,19,,,,182,2,7,9,7,89,2,51,1,2,1,31,POINT (-75.167756 39.346129)
