County Name,County Code,County FIPS Code,Latitude,Longitude,Week Begin Date,Total Calls,Total Intakes,Caller Receiving Warm-Line Connection,Male Callers,Female Callers,Callers Using Heroin,Callers Using Cannabis,Callers Using Alcohol,Callers Using Benzodiazepine,Callers Using Opiates,Callers Using Hallucinogens,Callers Using Stimulants,Callers Using Depressants,Callers Using Narcotics - Not Specificied,Callers Using Methadone,Callers Using Suboxone,Callers Using Dissociative Anesthetic,Callers Receiving at least 1 Resource,Callers Receiving Information and Resources Only,Callers Referred for Assessment and Diagnostics,Callers Referred to Outpatient Treatment,Callers Referred to Medication Assisted Treatment,Callers Referred for Detox/Crisis Stabilization,Callers Referred to Intensive Outpatient Treatment,Callers Referred to Inpatient Residential Treatment,Callers Referred to the Emergency Room,Callers Referred for Recovery Support,Callers Referred to Social Services,Callers Referred to their SCA,Georeferenced Latitude & Longitude
Commonwealth,00,42000,39.346129,-75.167756,07/24/2017,335,142,145,93,49,,,,,,,,,,,,,142,0,5,8,9,92,0,11,0,0,1,18,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/03/2020,225,128,110,90,38,30,6,43,6,22,0,34,1,14,7,6,0,128,0,10,6,3,56,0,23,3,0,0,39,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,09/02/2019,311,154,138,88,66,34,12,61,6,33,5,35,2,6,1,9,0,154,2,14,13,2,64,3,24,3,0,1,35,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/12/2017,296,148,127,78,70,,,,,,,,,,,,,148,1,4,6,6,78,0,11,3,1,2,41,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/06/2017,281,121,123,69,52,,,,,,,,,,,,,121,0,4,8,14,65,0,14,1,1,0,18,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/06/2020,329,209,158,131,78,45,11,62,6,38,4,51,1,23,6,13,1,209,0,9,18,8,107,4,50,11,2,0,42,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/18/2020,330,192,153,117,75,43,20,62,13,41,4,50,0,7,3,8,1,192,1,11,15,6,106,0,28,4,0,0,36,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/27/2017,370,174,199,96,81,,,,,,,,,,,,,174,1,29,8,4,111,3,27,7,0,1,32,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/03/2018,227,118,114,66,52,21,9,45,5,18,1,29,1,13,2,7,,118,0,10,12,8,51,1,21,3,1,0,20,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/12/2016,344,148,135,87,61,,,,,,,,,,,,,148,1,7,11,14,86,0,18,2,1,0,15,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/15/2019,386,177,160,104,73,36,25,62,8,37,4,43,3,10,9,7,1,177,1,13,18,4,68,2,32,3,1,0,43,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/24/2019,283,136,121,90,46,38,8,42,6,18,4,28,3,12,7,11,0,136,0,10,11,7,57,1,24,0,0,0,26,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/21/2018,358,140,139,80,60,42,9,47,10,29,2,34,0,8,,,,140,0,5,11,13,60,2,49,1,2,1,12,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,09/03/2018,328,140,136,84,56,28,18,43,10,33,4,43,5,8,4,10,,140,0,5,9,8,70,0,28,1,1,0,29,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/20/2019,267,130,111,71,59,16,9,39,4,12,0,20,0,10,1,4,0,130,1,1,5,5,53,1,16,1,1,0,31,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/09/2017,290,128,135,80,48,,,,,,,,,,,,,128,0,3,3,16,76,0,11,0,0,0,13,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/30/2019,253,147,129,91,56,32,7,51,5,25,2,33,1,21,2,10,0,147,2,12,9,4,54,2,22,3,2,0,41,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/05/2018,438,206,209,118,88,,,,,,,,,,,,,206,1,6,39,12,99,1,48,1,0,0,29,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/22/2018,336,150,160,87,63,,,,,,,,,,,,,150,0,6,14,14,73,4,27,1,1,0,21,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/13/2020,164,93,75,57,36,26,7,26,5,16,2,22,0,8,3,3,0,93,0,7,9,3,34,2,14,7,1,0,26,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,08/06/2018,346,155,137,90,65,41,18,59,9,31,4,38,3,8,7,8,,155,1,5,10,8,82,2,19,2,3,0,27,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/31/2018,367,171,149,103,68,56,13,49,6,37,2,40,1,16,4,9,,171,0,17,15,5,83,3,17,0,2,0,3,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/18/2019,332,153,136,91,62,36,19,51,12,25,4,48,3,6,7,12,0,153,0,10,12,5,61,0,30,1,1,0,36,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/18/2018,308,122,126,72,50,38,9,32,6,24,4,24,0,54,8,,,122,2,4,13,5,61,0,27,1,1,0,18,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/15/2018,305,129,121,72,57,32,11,34,9,26,2,50,3,8,2,4,,129,0,10,4,1,60,1,32,4,1,0,26,POINT (-75.167756 39.346129)
